#datatype measurement,tag,string,dateTime:RFC3339,double,double,double,double,double
name,id,LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std
energy,50,MAC000131,2012-02-02T00:00:00Z,0.074,0.2213541666666666,0.708,48,0.2364485900295249
energy,51,MAC000131,2012-02-03T00:00:00Z,0.11,0.2610208333333333,0.7809999999999999,48,0.2517188138754536
energy,52,MAC000131,2012-02-04T00:00:00Z,0.0945,0.213,0.748,48,0.2129077314886887
energy,53,MAC000131,2012-02-05T00:00:00Z,0.139,0.2588124999999999,0.6609999999999999,48,0.2216842354926426
energy,54,MAC000131,2012-02-06T00:00:00Z,0.134,0.24875,0.698,48,0.2408481909083599
energy,55,MAC000131,2012-02-07T00:00:00Z,0.108,0.2662083333333333,0.8029999999999999,48,0.2498422445526788
energy,56,MAC000131,2012-02-08T00:00:00Z,0.132,0.2343958333333333,0.789,48,0.2240821220648314
energy,57,MAC000131,2012-02-09T00:00:00Z,0.253,0.3621666666666668,1.163,48,0.2900022988414632
energy,58,MAC000131,2012-02-10T00:00:00Z,0.0715,0.2252708333333333,0.7979999999999999,48,0.2492217451992138
energy,59,MAC000131,2012-02-11T00:00:00Z,0.0785,0.1754791666666667,0.892,48,0.193109713010157
energy,60,MAC000131,2012-02-12T00:00:00Z,0.124,0.2008125,0.763,48,0.2040374033555737
energy,61,MAC000131,2012-02-13T00:00:00Z,0.1375,0.2700833333333333,0.723,48,0.240397439832487
energy,62,MAC000131,2012-02-14T00:00:00Z,0.104,0.2263541666666666,0.6890000000000001,48,0.2258613290987847
energy,63,MAC000131,2012-02-15T00:00:00Z,0.1375,0.2636458333333333,0.805,48,0.248618864896189
energy,64,MAC000131,2012-02-16T00:00:00Z,0.213,0.3446458333333333,0.7609999999999999,48,0.2662033688729179
energy,65,MAC000131,2012-02-17T00:00:00Z,0.0945,0.2578541666666668,1.327,48,0.3005537435272216
energy,66,MAC000131,2012-02-18T00:00:00Z,0.113,0.1899166666666666,0.6970000000000001,48,0.1905150726525368
energy,67,MAC000131,2012-02-19T00:00:00Z,0.122,0.2508333333333333,0.8320000000000001,48,0.2458629036188389
energy,68,MAC000131,2012-02-20T00:00:00Z,0.1235,0.2608541666666666,0.8170000000000001,48,0.2507973658268239
energy,69,MAC000131,2012-02-21T00:00:00Z,0.1235,0.2421666666666666,0.753,48,0.230445575181142
energy,70,MAC000131,2012-02-22T00:00:00Z,0.1935,0.3115833333333334,0.747,48,0.2452953784624477
energy,71,MAC000131,2012-02-23T00:00:00Z,0.104,0.2013541666666666,0.735,48,0.2036950672151916
energy,72,MAC000131,2012-02-24T00:00:00Z,0.098,0.1976249979166666,1.3609999,48,0.2573993923402459
energy,73,MAC000131,2012-02-25T00:00:00Z,0.0865,0.1225833333333332,0.62,48,0.0913221637317714
energy,74,MAC000131,2012-02-26T00:00:00Z,0.112,0.1648333333333334,0.6559999999999999,48,0.1531881520519064
energy,75,MAC000131,2012-02-27T00:00:00Z,0.1195,0.2327708333333333,0.743,48,0.2234939419982767
energy,76,MAC000131,2012-02-28T00:00:00Z,0.11,0.1826458333333333,0.769,48,0.1776158285048407
energy,77,MAC000131,2012-02-29T00:00:00Z,0.1405,0.1703749999999999,1.036,48,0.1457178306529875
energy,78,MAC000131,2012-03-01T00:00:00Z,0.1225,0.2123125,0.6809999999999999,48,0.2047989316222548
energy,79,MAC000131,2012-03-02T00:00:00Z,0.093,0.1937916666666666,0.728,48,0.2077344825690404
energy,80,MAC000131,2012-03-03T00:00:00Z,0.0935,0.1417916666666666,0.575,48,0.1163262028134371
energy,81,MAC000131,2012-03-04T00:00:00Z,0.133,0.2717083333333333,1.268,48,0.2710373263399408
energy,82,MAC000131,2012-03-05T00:00:00Z,0.1265,0.2882708333333333,0.877,48,0.270331690633919
energy,83,MAC000131,2012-03-06T00:00:00Z,0.126,0.2664583333333333,0.765,48,0.2475905128568896
energy,84,MAC000131,2012-03-07T00:00:00Z,0.1255,0.2783541666666667,0.797,48,0.2584470388632129
energy,85,MAC000131,2012-03-08T00:00:00Z,0.0965,0.2588958333333334,1.319,48,0.2963013302031259
energy,86,MAC000131,2012-03-09T00:00:00Z,0.0885,0.2216875,0.74,48,0.2268442296406866
energy,87,MAC000131,2012-03-10T00:00:00Z,0.1095,0.1995,0.815,48,0.201749265072879
energy,88,MAC000131,2012-03-11T00:00:00Z,0.1095,0.2180416666666666,0.716,48,0.2197588580097714
energy,89,MAC000131,2012-03-12T00:00:00Z,0.1185,0.2157083333333334,0.698,48,0.2160495371026504
energy,90,MAC000131,2012-03-13T00:00:00Z,0.0795,0.1934583333333333,0.779,48,0.2226185515709463
energy,91,MAC000131,2012-03-14T00:00:00Z,0.096,0.1855625,0.928,48,0.2070463928123253
energy,92,MAC000131,2012-03-15T00:00:00Z,0.0825,0.1719375,0.7559999999999999,48,0.1931651708892699
energy,93,MAC000131,2012-03-16T00:00:00Z,0.1205,0.22875,0.706,48,0.2254393818604394
energy,94,MAC000131,2012-03-17T00:00:00Z,0.081,0.1613541666666666,0.687,48,0.161039639574188
energy,95,MAC000131,2012-03-18T00:00:00Z,0.5785,0.4331458333333335,0.711,48,0.2297830604633129
energy,96,MAC000131,2012-03-19T00:00:00Z,0.1315,0.238875,0.755,48,0.2252819155843666
energy,97,MAC000131,2012-03-20T00:00:00Z,0.11,0.2277291666666667,0.698,48,0.2286518992838224
energy,98,MAC000131,2012-03-21T00:00:00Z,0.1285,0.2773125,0.79,48,0.2616709120697297
energy,99,MAC000131,2012-03-22T00:00:00Z,0.115,0.2182291666666666,0.746,48,0.231200404879213
energy,100,MAC000131,2012-03-23T00:00:00Z,0.0955,0.1612083333333333,0.627,48,0.1634070701266499
energy,101,MAC000131,2012-03-24T00:00:00Z,0.1119999999999999,0.1130416666666666,0.238,48,0.0469014169061172
energy,102,MAC000131,2012-03-25T00:00:00Z,0.131,0.1676041666666667,0.958,48,0.1583525207672215
energy,103,MAC000131,2012-03-26T00:00:00Z,0.1115,0.1950833333333333,0.821,48,0.2051897755046074
energy,104,MAC000131,2012-03-27T00:00:00Z,0.0775,0.1604791666666666,0.6970000000000001,48,0.167683210641989
energy,105,MAC000131,2012-03-28T00:00:00Z,0.115,0.181125,0.7829999999999999,48,0.1896126650990314
energy,106,MAC000131,2012-03-29T00:00:00Z,0.0955,0.157125,0.933,48,0.1761856642802482
energy,107,MAC000131,2012-03-30T00:00:00Z,0.0854999999999999,0.1746041666666667,0.732,48,0.1903589822149957
energy,108,MAC000131,2012-03-31T00:00:00Z,0.1065,0.14,0.805,48,0.1262412415331447
energy,109,MAC000131,2012-04-01T00:00:00Z,0.1305,0.2211875,1.023,48,0.2236982823862382
energy,110,MAC000131,2012-04-02T00:00:00Z,0.1205,0.2159166666666667,0.7240000000000001,48,0.2225415890687586
energy,111,MAC000131,2012-04-03T00:00:00Z,0.094,0.2209166666666666,0.769,48,0.232646461151948
energy,112,MAC000131,2012-04-04T00:00:00Z,0.111,0.2447083333333333,0.7509999999999999,48,0.2485213256257501
energy,113,MAC000131,2012-04-05T00:00:00Z,0.0675,0.2237291666666666,0.8009999999999999,48,0.2575339464988854
energy,114,MAC000131,2012-04-06T00:00:00Z,0.145,0.3075833333333333,0.87,48,0.2763676115929446
energy,115,MAC000131,2012-04-07T00:00:00Z,0.1315,0.2893125020833334,1.4220001,48,0.2966831011916805
energy,116,MAC000131,2012-04-08T00:00:00Z,0.1205,0.2458333333333333,1.072,48,0.2584679356494056
energy,117,MAC000131,2012-04-09T00:00:00Z,0.2045,0.3537291666666667,0.727,48,0.2646214268662641
energy,118,MAC000131,2012-04-10T00:00:00Z,0.101,0.2906875020833333,1.4400001,48,0.3215380769736038
energy,119,MAC000131,2012-04-11T00:00:00Z,0.1155,0.2632708333333333,0.797,48,0.2546714812980142
energy,120,MAC000131,2012-04-12T00:00:00Z,0.1175,0.2740416666666667,0.95,48,0.2808421952849719
energy,121,MAC000131,2012-04-13T00:00:00Z,0.0785,0.2217291666666666,0.7979999999999999,48,0.235799115691711
energy,122,MAC000131,2012-04-14T00:00:00Z,0.144,0.3144166666666666,1.104,48,0.2806373319014019
energy,123,MAC000131,2012-04-15T00:00:00Z,0.135,0.2320625,0.955,48,0.24060786551318
energy,124,MAC000131,2012-04-16T00:00:00Z,0.1365,0.3261041666666666,1.036,48,0.3139653890386397
energy,125,MAC000131,2012-04-17T00:00:00Z,0.1315,0.2908541666666667,0.833,48,0.2688349164872283
energy,126,MAC000131,2012-04-18T00:00:00Z,0.108,0.2572291666666667,1.12,48,0.2626895457171412
energy,127,MAC000131,2012-04-19T00:00:00Z,0.108,0.2802291666666667,1.044,48,0.2884913243714421
energy,128,MAC000131,2012-04-20T00:00:00Z,0.0915,0.2028125,0.736,48,0.2152191022378941
energy,129,MAC000131,2012-04-21T00:00:00Z,0.1265,0.2477291666666667,1.4509999999999998,48,0.2950282885523002
energy,130,MAC000131,2012-04-22T00:00:00Z,0.1369999999999999,0.2843333333333333,1.097,48,0.2870406845900578
energy,131,MAC000131,2012-04-23T00:00:00Z,0.1465,0.2747291666666667,0.857,48,0.2529574633809839
energy,132,MAC000131,2012-04-24T00:00:00Z,0.109,0.2257083333333333,0.968,48,0.2369653855980472
energy,133,MAC000131,2012-04-25T00:00:00Z,0.1175,0.2724166666666666,1.204,48,0.3180187893106474
energy,134,MAC000131,2012-04-26T00:00:00Z,0.138,0.2723125,1.018,48,0.2646554690295178
energy,135,MAC000131,2012-04-27T00:00:00Z,0.094,0.1849791666666667,0.789,48,0.2070278519224676
energy,136,MAC000131,2012-04-28T00:00:00Z,0.0885,0.1332916666666667,0.687,48,0.1258092034541148
energy,137,MAC000131,2012-04-29T00:00:00Z,0.1169999999999999,0.21225,1.08,48,0.2327993840015247
energy,138,MAC000131,2012-04-30T00:00:00Z,0.1405,0.2826458333333333,1.598,48,0.3343494470583538
energy,139,MAC000131,2012-05-01T00:00:00Z,0.1185,0.2666874979166667,1.0319999,48,0.2761312576971209
energy,140,MAC000131,2012-05-02T00:00:00Z,0.131,0.2407916666666666,0.738,48,0.2344520963032596
energy,141,MAC000131,2012-05-03T00:00:00Z,0.154,0.3049166666666666,0.88,48,0.2735720243048793
energy,142,MAC000131,2012-05-04T00:00:00Z,0.1015,0.2028125,0.711,48,0.2119872192303612
energy,143,MAC000131,2012-05-05T00:00:00Z,0.0885,0.1919375,0.923,48,0.2125663256942381
energy,144,MAC000131,2012-05-06T00:00:00Z,0.118,0.2070833333333333,0.956,48,0.2293985506394079
energy,145,MAC000131,2012-05-07T00:00:00Z,0.326,0.3732916666666668,0.778,48,0.2825600262594062
energy,146,MAC000131,2012-05-08T00:00:00Z,0.1035,0.21975,0.8590000000000001,48,0.2420466369691699
energy,147,MAC000131,2012-05-09T00:00:00Z,0.1064999999999999,0.2621041687499999,1.0700001,48,0.2930177048149445
energy,148,MAC000131,2012-05-10T00:00:00Z,0.1405,0.2864375,1.033,48,0.2734074121744231
