id,energy_date,LCLid,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
1,2011-12-15,MAC000131,0.485,0.4320454545454545,0.868,22,0.2391457967876753,9.505,0.072
2,2011-12-16,MAC000131,0.1415,0.29616666875,1.1160001,48,0.2814713178628203,14.216000100000002,0.031
3,2011-12-17,MAC000131,0.1015,0.1898125,0.685,48,0.1884046862418033,9.111,0.064
4,2011-12-18,MAC000131,0.114,0.2189791666666666,0.6759999999999999,48,0.202919278530382,10.510999999999996,0.065
5,2011-12-19,MAC000131,0.191,0.3259791666666666,0.7879999999999999,48,0.2592049619947409,15.646999999999998,0.066
6,2011-12-20,MAC000131,0.218,0.3575,1.077,48,0.287596570275173,17.16,0.066
7,2011-12-21,MAC000131,0.1305,0.2350833333333333,0.705,48,0.2220696491599295,11.284,0.066
8,2011-12-22,MAC000131,0.089,0.2213541666666666,1.094,48,0.2672388754990826,10.625,0.062
9,2011-12-23,MAC000131,0.1604999999999999,0.291125,0.7490000000000001,48,0.2490760479443466,13.973999999999998,0.065
10,2011-12-24,MAC000131,0.107,0.1689999999999999,0.613,47,0.1506846693105087,7.943,0.065
11,2011-12-25,MAC000131,0.2175,0.3391875,0.866,48,0.2631011985747867,16.281000000000002,0.069
12,2011-12-26,MAC000131,0.1495,0.2617083333333333,0.838,48,0.2447927441503373,12.562,0.066
13,2011-12-27,MAC000131,0.143,0.2740000000000001,0.778,48,0.252127458479137,13.152000000000005,0.068
14,2011-12-28,MAC000131,0.1455,0.3005208333333333,1.207,48,0.2986802880177308,14.425,0.066
15,2011-12-29,MAC000131,0.152,0.3070416666666667,0.888,48,0.2644546341928976,14.738,0.066
16,2011-12-30,MAC000131,0.135,0.2768541666666667,0.782,48,0.261185756802965,13.289000000000003,0.064
17,2011-12-31,MAC000131,0.1515,0.3257291666666667,1.252,48,0.3098882941898363,15.635000000000003,0.066
18,2012-01-01,MAC000131,0.151,0.2560208333333333,0.812,48,0.2252494116065079,12.289,0.068
19,2012-01-02,MAC000131,0.134,0.2520833333333333,0.851,48,0.237212969518535,12.1,0.068
20,2012-01-03,MAC000131,0.1475,0.2355,0.674,48,0.2099953393606427,11.304000000000002,0.068
21,2012-01-04,MAC000131,0.1009999999999999,0.2162708333333332,0.731,48,0.2152057639407767,10.380999999999997,0.065
22,2012-01-05,MAC000131,0.146,0.3310208333333334,0.7859999999999999,48,0.2733733702406611,15.889000000000005,0.063
23,2012-01-06,MAC000131,0.1025,0.2236458333333333,0.765,48,0.241187001659508,10.735,0.064
24,2012-01-07,MAC000131,0.0995,0.1373958333333333,0.5720000000000001,48,0.0944954664190767,6.594999999999999,0.065
25,2012-01-08,MAC000131,0.1369999999999999,0.2305000000000001,0.857,48,0.2212444493834336,11.064000000000004,0.068
26,2012-01-09,MAC000131,0.1345,0.2603541666666666,0.7709999999999999,48,0.243380490973547,12.497,0.065
27,2012-01-10,MAC000131,0.1435,0.2012916666666666,0.6940000000000001,48,0.1698051396777875,9.662,0.068
28,2012-01-11,MAC000131,0.13,0.2410416666666667,0.7290000000000001,48,0.2220348792164251,11.57,0.064
29,2012-01-12,MAC000131,0.1595,0.3267499999999999,1.242,48,0.2924345716966519,15.683999999999996,0.068
30,2012-01-13,MAC000131,0.0849999999999999,0.2425000020833333,1.4680001,48,0.2988751338609918,11.640000099999998,0.063
